epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2934.05,1.9968,2.49779,1.61747,0.00429,0.32346,0.44579,0.30901,0.28029,0.13943,0.41445,0.25099,0.21868,0.10293,1.94241,2.46304,1.81471,0.0066,0,0.000564982,0.000564982,0.000564982
28,3038.47,1.9922,2.47748,1.60687,0.00434,0.30202,0.61495,0.30681,0.34298,0.16259,0.5164,0.25809,0.24987,0.10845,1.92784,2.6449,1.80449,0.00659,0,0.000554674,0.000554674,0.000554674
29,3143.11,1.97652,2.48893,1.60814,0.0044,0.30813,0.54526,0.24041,0.26739,0.14133,0.43218,0.18816,0.19073,0.09436,1.89359,2.50539,1.8023,0.00596,0,0.000544365,0.000544365,0.000544365
30,3248.16,1.95909,2.44806,1.58044,0.00429,0.30156,0.48179,0.27275,0.28153,0.13925,0.4277,0.23179,0.21878,0.10252,1.93223,2.54516,1.77448,0.00674,0,0.000534057,0.000534057,0.000534057
31,3356.11,1.95186,2.40123,1.54725,0.00416,0.29174,0.47906,0.3128,0.29193,0.14355,0.40818,0.22539,0.20597,0.09138,1.9696,2.65186,1.80622,0.007,0,0.000523749,0.000523749,0.000523749
32,3460.92,1.93884,2.47391,1.55525,0.00421,0.29077,0.46357,0.27784,0.27992,0.14594,0.41864,0.22442,0.21977,0.10055,1.93295,2.59717,1.83914,0.00713,0,0.00051344,0.00051344,0.00051344
33,3566.43,1.95338,2.44472,1.53194,0.00413,0.28438,0.57296,0.2388,0.26544,0.13904,0.40188,0.22647,0.19861,0.09486,1.89802,2.46165,1.8034,0.0063,0,0.000503132,0.000503132,0.000503132
34,3671.22,1.94884,2.43766,1.52521,0.00413,0.29471,0.53929,0.27926,0.28511,0.14616,0.48027,0.23617,0.23026,0.10015,1.92477,2.63258,1.80289,0.00654,0,0.000492824,0.000492824,0.000492824
35,3786.25,1.94475,2.36334,1.53531,0.00422,0.28372,0.57021,0.32098,0.30404,0.15948,0.488,0.25806,0.23748,0.11617,1.92662,2.4391,1.72271,0.00641,0,0.000482515,0.000482515,0.000482515
36,3903.6,1.89628,2.40122,1.50955,0.00419,0.27887,0.48819,0.33563,0.32375,0.17402,0.46463,0.28904,0.25263,0.10961,1.92749,2.4931,1.74866,0.00628,0,0.000472207,0.000472207,0.000472207
