epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,6247.41,1.88283,2.30164,1.48639,0.00435,0.29841,0.61362,0.39927,0.41041,0.20634,0.53084,0.25039,0.26101,0.12182,1.79702,2.18835,1.75122,0.00608,0,0.000564982,0.000564982,0.000564982
28,6488.67,1.89224,2.28117,1.48459,0.00454,0.29351,0.41041,0.33884,0.36172,0.19215,0.4569,0.27228,0.2578,0.11754,1.79371,2.35668,1.5992,0.00553,0,0.000554674,0.000554674,0.000554674
29,6702.61,1.83823,2.28254,1.44363,0.00418,0.29202,0.56154,0.34886,0.36266,0.1841,0.54154,0.25216,0.24873,0.11427,1.86449,2.22135,1.49247,0.00581,0,0.000544365,0.000544365,0.000544365
30,6917.84,1.8631,2.30951,1.42261,0.00423,0.28883,0.56825,0.32593,0.36475,0.18397,0.48945,0.25741,0.2384,0.10836,1.8354,2.21479,1.50882,0.00555,0,0.000534057,0.000534057,0.000534057
31,7131.88,1.82791,2.22887,1.41285,0.00423,0.30246,0.59922,0.37015,0.36362,0.18994,0.52565,0.31416,0.26774,0.13377,1.8608,2.17554,1.59748,0.00561,0,0.000523749,0.000523749,0.000523749
32,7345.81,1.81922,2.25477,1.40256,0.00415,0.28437,0.60817,0.3351,0.35999,0.18346,0.50211,0.2584,0.25185,0.12014,1.85828,2.21926,1.56008,0.00552,0,0.00051344,0.00051344,0.00051344
33,7559.56,1.82506,2.22617,1.41272,0.00401,0.28395,0.64301,0.31229,0.36747,0.19426,0.48371,0.29014,0.27251,0.13221,1.81308,2.14708,1.56703,0.00585,0,0.000503132,0.000503132,0.000503132
34,7772.21,1.82358,2.22556,1.39516,0.0042,0.27615,0.64094,0.33614,0.3812,0.20324,0.51578,0.27506,0.26543,0.1357,1.80338,2.27483,1.49443,0.00557,0,0.000492824,0.000492824,0.000492824
35,7984.83,1.81536,2.1771,1.41299,0.00425,0.2839,0.62149,0.35662,0.37758,0.19442,0.53774,0.2952,0.28197,0.1423,1.85055,2.26577,1.47148,0.00589,0,0.000482515,0.000482515,0.000482515
36,8196.81,1.77551,2.22747,1.32672,0.004,0.26443,0.52544,0.36971,0.33948,0.17534,0.47763,0.25993,0.24392,0.11012,1.85028,2.27801,1.55022,0.00606,0,0.000472207,0.000472207,0.000472207
